540.7000,2554.1667,3208.3333,3600.0000,3550.0000,3541.6667,4008.3333,3791.6667,4175.0000,4241.6665,4316.6665,4337.5000,4716.6665,4616.6665,4495.8335,3716.6667,3712.5000,3437.5000,3404.1667,3512.5000,3508.3333,3379.1667,3008.3333,3441.6667,3304.1667,3325.0000
540.6000,2558.3333,3229.1667,3487.5000,3475.0000,3745.8333,4008.3333,3970.8333,4183.3335,4200.0000,4433.3335,4308.3335,4700.0000,4679.1665,4425.0000,3750.0000,3541.6667,3275.0000,3262.5000,3475.0000,3137.5000,3537.5000,3500.0000,3229.1667,3225.0000,3616.6667
540.5000,2562.5000,3383.3333,3412.5000,3404.1667,3400.0000,3912.5000,4012.5000,3937.5000,4320.8335,4120.8335,4533.3335,4670.8335,4758.3335,4529.1665,3858.3333,3479.1667,3333.3333,3287.5000,3379.1667,3575.0000,3416.6667,3333.3333,3508.3333,3300.0000,3191.6667
540.4000,2545.8333,3225.0000,3175.0000,3558.3333,3616.6667,3675.0000,4045.8333,4070.8333,3970.8333,4308.3335,4475.0000,4695.8335,4695.8335,4437.5000,3837.5000,3445.8333,3620.8333,3245.8333,3437.5000,3666.6667,3179.1667,3495.8333,3125.0000,3362.5000,3391.6667
540.3000,2262.5000,3266.6667,3479.1667,3583.3333,3604.1667,3741.6667,3941.6667,4175.0000,4162.5000,4187.5000,4516.6665,4554.1665,4662.5000,4545.8335,3879.1667,3570.8333,3525.0000,3362.5000,3412.5000,3508.3333,3358.3333,3258.3333,3437.5000,3366.6667,3216.6667
540.2000,2558.3333,3083.3333,3287.5000,3370.8333,3504.1667,3762.5000,4108.3335,3891.6667,4212.5000,4437.5000,4245.8335,4625.0000,4741.6665,4366.6665,3758.3333,3466.6667,3287.5000,3333.3333,3445.8333,3283.3333,3208.3333,3445.8333,3383.3333,3554.1667,3258.3333
540.1000,2537.5000,3175.0000,3387.5000,3283.3333,3629.1667,3804.1667,3791.6667,3900.0000,4233.3335,4112.5000,4541.6665,4675.0000,4800.0000,4704.1665,3766.6667,3558.3333,3562.5000,3279.1667,3320.8333,3345.8333,3454.1667,3370.8333,3270.8333,3412.5000,3366.6667
540.0000,2595.8333,3250.0000,3383.3333,3337.5000,3554.1667,3845.8333,3941.6667,4241.6665,4125.0000,4241.6665,4216.6665,4729.1665,4662.5000,4533.3335,3820.8333,3504.1667,3470.8333,3400.0000,3404.1667,3575.0000,3241.6667,3233.3333,3216.6667,3470.8333,3550.0000
539.9000,2491.6667,3395.8333,3345.8333,3208.3333,3470.8333,3612.5000,3845.8333,3804.1667,4041.6667,4250.0000,4470.8335,4758.3335,4975.0000,4320.8335,3766.6667,3537.5000,3291.6667,3375.0000,3329.1667,3370.8333,3391.6667,3412.5000,3520.8333,3470.8333,3475.0000
539.8000,2329.1667,2883.3333,3216.6667,3229.1667,3450.0000,3700.0000,3983.3333,3775.0000,4225.0000,4316.6665,4387.5000,4670.8335,4695.8335,4279.1665,3591.6667,3675.0000,3608.3333,3225.0000,3366.6667,3208.3333,3362.5000,3404.1667,3400.0000,3204.1667,3458.3333
539.7000,2537.5000,3175.0000,3366.6667,3433.3333,3454.1667,3954.1667,3708.3333,4112.5000,4162.5000,4404.1665,4154.1665,4429.1665,4837.5000,4275.0000,3904.1667,3283.3333,3479.1667,3362.5000,3183.3333,3370.8333,3383.3333,3312.5000,3383.3333,3391.6667,3350.0000
