#title,XRD_RIGAKU2 - ÉRÉsÅ[.ras
#dimension,x,y
#x,2Theta-Theta,deg
#y,Intensity,counts
#legend,Cu K_alpha
##acq_date,11/21/2017 08:37:42

30.1300,8.0000
30.1400,8.0000
30.1500,9.0000
30.1600,7.0000
30.1700,9.0000
30.1800,8.0000
30.1900,6.0000
30.2000,3.0000
30.2100,5.0000
30.2200,4.0000
30.2300,6.0000
30.2400,1.0000
30.2500,7.0000
30.2600,3.0000
30.2700,4.0000
30.2800,6.0000
30.2900,2.0000
30.3000,7.0000
30.3100,4.0000
30.3200,4.0000
30.3300,6.0000
30.3400,8.0000
30.3500,5.0000
30.3600,4.0000
30.3700,6.0000
30.3800,6.0000
30.3900,6.0000
30.4000,5.0000
30.4100,2.0000
30.4200,6.0000
30.4300,5.0000
30.4400,8.0000
30.4500,4.0000
30.4600,6.0000
30.4700,5.0000
30.4800,5.0000
30.4900,4.0000
30.5000,11.0000
30.5100,5.0000
30.5200,3.0000
30.5300,3.0000
30.5400,6.0000
30.5500,6.0000
30.5600,5.0000
30.5700,1.0000
30.5800,3.0000
30.5900,13.0000
30.6000,8.0000
30.6100,7.0000
30.6200,7.0000
30.6300,3.0000
30.6400,5.0000
30.6500,6.0000
30.6600,1.0000
30.6700,4.0000
30.6800,2.0000
30.6900,7.0000
30.7000,4.0000
30.7100,4.0000
30.7200,5.0000
30.7300,2.0000
30.7400,6.0000
30.7500,3.0000
30.7600,5.0000
30.7700,3.0000
30.7800,8.0000
30.7900,6.0000
30.8000,4.0000
30.8100,8.0000
30.8200,3.0000
30.8300,9.0000
30.8400,7.0000
30.8500,2.0000
30.8600,5.0000
30.8700,4.0000
30.8800,2.0000
30.8900,8.0000
30.9000,9.0000
30.9100,7.0000
30.9200,4.0000
30.9300,6.0000
30.9400,6.0000
30.9500,3.0000
30.9600,3.0000
30.9700,7.0000
30.9800,5.0000
30.9900,4.0000
31.0000,8.0000
31.0100,4.0000
31.0200,6.0000
31.0300,3.0000
31.0400,3.0000
31.0500,8.0000
31.0600,5.0000
31.0700,7.0000
31.0800,11.0000
31.0900,6.0000
31.1000,9.0000
31.1100,4.0000
31.1200,4.0000
31.1300,5.0000
31.1400,3.0000
31.1500,6.0000
31.1600,7.0000
31.1700,5.0000
31.1800,7.0000
31.1900,3.0000
31.2000,4.0000
31.2100,3.0000
31.2200,4.0000
31.2300,5.0000
31.2400,4.0000
31.2500,8.0000
31.2600,5.0000
31.2700,1.0000
31.2800,2.0000
31.2900,7.0000
31.3000,9.0000
31.3100,4.0000
31.3200,5.0000
31.3300,4.0000
31.3400,5.0000
31.3500,9.0000
31.3600,5.0000
31.3700,7.0000
31.3800,1.0000
31.3900,5.0000
31.4000,6.0000
31.4100,2.0000
31.4200,5.0000
31.4300,7.0000
31.4400,6.0000
31.4500,4.0000
31.4600,9.0000
31.4700,6.0000
31.4800,4.0000
31.4900,6.0000
31.5000,6.0000
31.5100,7.0000
31.5200,11.0000
31.5300,3.0000
31.5400,4.0000
31.5500,4.0000
31.5600,2.0000
31.5700,7.0000
31.5800,10.0000
31.5900,7.0000
31.6000,6.0000
31.6100,8.0000
31.6200,3.0000
31.6300,6.0000
31.6400,7.0000
31.6500,5.0000
31.6600,4.0000
31.6700,5.0000
31.6800,6.0000
31.6900,8.0000
31.7000,6.0000
31.7100,3.0000
31.7200,6.0000
31.7300,2.0000
31.7400,4.0000
31.7500,11.0000
31.7600,6.0000
31.7700,4.0000
31.7800,4.0000
31.7900,9.0000
31.8000,7.0000
31.8100,5.0000
31.8200,11.0000
31.8300,3.0000
31.8400,7.0000
31.8500,3.0000
31.8600,5.0000
31.8700,7.0000
31.8800,7.0000
31.8900,8.0000
31.9000,4.0000
31.9100,5.0000
31.9200,5.0000
31.9300,7.0000
31.9400,4.0000
31.9500,3.0000
31.9600,4.0000
31.9700,9.0000
31.9800,7.0000
31.9900,8.0000
32.0000,7.0000
32.0100,9.0000
32.0200,5.0000
32.0300,5.0000
32.0400,5.0000
32.0500,6.0000
32.0600,5.0000
32.0700,5.0000
32.0800,6.0000
32.0900,7.0000
32.1000,4.0000
32.1100,3.0000
32.1200,8.0000
32.1300,6.0000
32.1400,4.0000
32.1500,6.0000
32.1600,8.0000
32.1700,5.0000
32.1800,6.0000
32.1900,3.0000
32.2000,5.0000
32.2100,3.0000
32.2200,7.0000
32.2300,2.0000
32.2400,4.0000
